Tegangan;Resistor;Arus
0;100;0
0.1;100;0.001
0.2;100;0.002
0.3;100;0.003
0.4;100;0.004
0.5;100;0.005
0.6;100;0.006
0.7;100;0.007
0.8;100;0.008
0.9;100;0.009
1;100;0.01
1.1;100;0.011
1.2;100;0.012
1.3;100;0.013
1.4;100;0.014
1.5;100;0.015
1.6;100;0.016
1.7;100;0.017
1.8;100;0.018
1.9;100;0.019
2;100;0.02
2.1;100;0.021
2.2;100;0.022
2.3;100;0.023
2.4;100;0.024
2.5;100;0.025
2.6;100;0.026
2.7;100;0.027
2.8;100;0.028
2.9;100;0.029
3;100;0.03
3.1;100;0.031
3.2;100;0.032
3.3;100;0.033
3.4;100;0.034
3.5;100;0.035
3.6;100;0.036
3.7;100;0.037
3.8;100;0.038
3.9;100;0.039
4;100;0.04
4.1;100;0.041
4.2;100;0.042
4.3;100;0.043
4.4;100;0.044
4.5;100;0.045
4.6;100;0.046
4.7;100;0.047
4.8;100;0.048
4.9;100;0.049
5;100;0.05
